Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
347,6,Myrl Bechtelar MD,Mr,Kolonnawa,3/5/1965,Male,1,Married,24,12/8/1993,\N,Active,,\N,\N,\N,Staff,Permanant,Buddhist,Driver,,,
348,33,Francis Mraz,Mr,Padukka,5/15/1973,Male,1,Married,24,3/14/1995,\N,Active,,\N,\N,\N,Staff,Permanant,Buddhist,Driver,,,
349,53,Mr Emmet Blick Jr,Mr,Pannipitiya,12/6/1974,Male,1,Married,23,1/27/1988,6/28/2021,Inactive,RESIGN,6/28/2021,\N,\N,Staff,Permanant,Buddhist,Account Clerk,,,
351,77,Mr Nelson Braun PhD,Ms,Hanwella,4/30/1974,Female,4,Married,40,10/1/1999,1/31/2022,Inactive,Resign,1/31/2022,\N,\N,Staff,Permanant,Catholic,Purchasing Officer,,,
352,88,Maximillian Hand,Mr,Polgahawela,7/22/1980,Male,1,Married,7,1/26/2001,\N,Active,,\N,\N,\N,Staff,Permanant,Buddhist,Store Keeper,,,
353,155,Zena Nicolas,Mr,,7/11/1962,Male,1,Married,22,9/29/2003,\N,Inactive,Resign,8/31/2020,\N,\N,Staff,Permanant,Buddhist,Technical Officer,,,
354,181,Coralie Bernhard,Mr,Ragama,5/10/1969,Male,1,Married,22,11/10/2003,0000-00-00,Active,,0000-00-00,945,\N,Staff,Permanant,Buddhist,Technical Officer,,,
355,192,Josh Roob,Mr,Dehiovita,12/2/1981,Male,1,Married,126,2/16/2004,\N,Active,,\N,\N,\N,Staff,Permanant,Buddhist,Project Coordinator ,,,
356,283,Ernest Upton,Ms,Homagama,10/15/1974,Female,1,Single,23,6/1/2005,\N,Active,,\N,\N,\N,Staff,Permanant,Buddhist,Account Clerk,,,
359,529,Sydney Oberbrunner,Mr,"Halloluwa,Kandy",3/13/1967,Male,1,Married,41,7/1/2006,1/31/2022,Inactive,RESIGN,1/31/2022,\N,\N,Staff,Permanant,Buddhist,Electrician,,,
360,573,Angeline Yundt,Mr,Pannipitiya,5/29/1976,Male,1,Married,42,8/29/2006,5/5/2021,Inactive,RESIGN,5/5/2021,\N,\N,Management,Permanant,Buddhist,Transport Officer,,,
361,596,Prof Karlie Bauch III,Mr,Batticoloa,1/11/1986,Male,3,Single,7,11/1/2006,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Permanant,Hindu,Store Keeper,,,
363,691,Leonel Romaguera,Mr,Telijjawila,9/30/1975,Male,1,Married,24,5/25/2007,5/23/2021,Inactive,Resign,5/23/2021,\N,\N,Staff,Permanant,Buddhist,Driver,,,
